bug_id,acc@1,acc@3,acc@5,average_precision,wasted_effort
1,0, 0, 0, 0.00641025641025641, 155.0
2,1, 1, 1, 1.0, 0.0
3,0, 0, 0, 0.0035922819430179924, 185.0
4,0, 0, 0, 0.014285714285714285, 71.0
5,0, 0, 0, 0.0083333333333333332, 129.0
6,0, 0, 0, 0.01037106524911403, 116.0
7,1, 1, 1, 1.0, 0.0
8,0, 0, 0, 0.0047393364928909956, 491.0
9,0, 1, 1, 0.17095851216022889, 2.0
10,0, 0, 0, 0.0086956521739130436, 112.0
11,0, 0, 0, 0.0035842293906810036, 280.0
12,0, 0, 0, 0.001953125, 831.0
13,0, 0, 0, 0.0015748031496062992, 639.0
14,0, 0, 0, 0.00084745762711864404, 1206.0
15,0, 0, 0, 0.016393442622950821, 60.0
16,0, 0, 0, 0.017049908544551868, 87.0
17,0, 0, 0, 0.0027322404371584699, 363.0
18,0, 0, 0, 0.0010834236186348862, 1041.0
19,0, 0, 0, 0.0040650406504065045, 245.0
20,0, 0, 0, 0.010869565217391304, 79.0
21,0, 0, 0, 0.0013297872340425532, 663.0
22,0, 0, 0, 0.0013297872340425532, 663.0
23,0, 1, 1, 0.5, 2.0
24,0, 0, 0, 0.006369426751592357, 147.0
25,0, 0, 0, 0.014084507042253521, 71.0
26,0, 0, 0, 0.028571428571428571, 40.0
27,0, 1, 1, 0.41666666666666663, 4.0
29,0, 0, 0, 0.0055555555555555558, 218.0
30,0, 0, 0, 0.0062413755670644418, 144.0
31,0, 0, 0, 0.0015479876160990713, 591.0
32,0, 0, 0, 0.050000000000000003, 19.0
33,0, 0, 0, 0.017241379310344827, 56.0
34,0, 0, 0, 0.026684223727113123, 20.0
35,0, 0, 0, 0.006369426751592357, 156.0
36,0, 0, 0, 0.0015290519877675841, 650.0
37,0, 0, 0, 0.0050485817812550484, 232.0
38,0, 0, 0, 0.040000000000000001, 25.0
39,0, 0, 0, 0.01020408163265306, 94.0
40,0, 0, 0, 0.0016778523489932886, 577.0
41,0, 0, 0, 0.0033990412430779404, 436.0
42,0, 0, 0, 0.076923076923076927, 8.0
43,0, 0, 0, 0.0014884536603717998, 1024.0
44,0, 0, 0, 0.002232142857142857, 455.0
45,0, 0, 0, 0.0063651740407727232, 92.0
46,1, 1, 1, 1.0, 0.0
47,0, 0, 0, 0.002937033968516984, 235.0
48,0, 0, 0, 0.004048582995951417, 247.0
